jurisdiction,fipst,fipco,jobs_2020,households_2020,pop_2020,county,place_fips,key,permits1417_vlow,permits1417_low,permits1417_total,capacity5_units,density5_mean,n_sites5,jh_ratio_2020,rhna_very_low,rhna_low,rhna_moderate,rhna_above_moderate,rhna_total,permits1825_vlow,permits1825_low,permits1825_mod,permits1825_above,permits1825_total,permits2325_total,permits2325_vlow,permits2325_low,permits1825_adu,permits1825_mf24,permits1825_mf5,permits1825_sf,capacity6_units,capacity6_lower,density6_mean,sites6_vacant_share,n_sites6,capacity6_rezone_units,capacity_vintage,sf_share,mf_share,zhvi_latest,zhvi_yoy,zori_latest,zori_yoy,acs_geo,acs_units,acs_med_income,acs_med_rent,acs_med_value,acs_owner_share,acs_poc_share,place_fips5,nzlud_zri,nzlud_parking,nzlud_minlot,nzlud_adu_allowed,nzlud_mf_permitted,nzlud_approval_steps,jobs_2022,workers_2022,sb79_share,sb79_tier1_share,tpa_share,hqta_share,epc_share,hra_share,tra_share,jh_ratio_2022,permits1825_per_1k,permits1825_mf_per_1k,adu_share_1825,permits1825_belowmod_per_1k,capacity6_per_1k,capacity5_per_1k,cap_ratio_6_to_5,rhna_per_1k,rhna6_progress,rhna6_lowinc_progress,capacity_vs_rhna,mf_allowed_share,D_demand,C_capacity,F_friction,F_coverage,P_delivery,zmi_core,zmi_full,zmi_realized,C_capacity_5th,zmi_core_5th
Martinez,6,13,24845,14465,36660,Contra Costa,6013,martinez,0,0,146,2025.0,14.451279826464209,566.0,1.717594192879364,350,201,221,573,1345,38,26,31,281,376,240,38,26,153,8,13,202,452.0,152.0,11.733363636363636,0.8090909090909091,110.0,1113.0,6th_cycle,0.9258472355564564,0.0741527644435433,774663.364008038,-0.0425336643847824,2372.2166666666667,0.0193694909351964,place,15178.0,127355.0,2353.0,859800.0,0.7084154044691978,0.41072541527789064,0646114,3.869064806,1.0,1.0,1.0,0.260869565,3.0,23058.0,17501.0,0.0,0.0,0.06481548126134683,0.06481548048206387,1.0000000000000044,0.0,7.082379216585518e-07,1.5191724864936091,25.993778085032837,1.4517801590044936,0.40691489361702127,4.4244728655375045,31.247839612858623,139.9930867611476,0.22320987654320987,92.98306256481162,0.17843866171003717,0.1161524500907441,0.33605947955390336,0.07415276444354357,-0.5110241131937762,-0.8172886493613922,0.2049913808145557,True,-1.0096099674067176,0.30626453616761606,0.5112559169821718,0.49858585421294144,-0.5362006970118167,0.025176583818040554
Menlo Park,6,81,36410,15390,44530,San Mateo,6081,menlo park,140,30,919,4357.7632920119,26.075325368238335,480.0,2.3658219623131904,740,426,496,1284,2946,332,267,263,1909,2771,1342,226,155,430,15,2159,167,832.0,125.0,15.0,0.0,10.0,2749.0,6th_cycle,0.8018608406315355,0.1981391593684645,2867594.8881837353,0.0523370788854853,4117.0142857142855,0.0511586464787892,place,13388.0,210025.0,3239.0,2000001.0,0.5421137112444031,0.48388181012619547,0646870,2.533206398,1.25,1.0,1.0,0.571428571,2.0,65976.0,15601.0,0.02610895932714742,0.02610895932714742,0.2635572302157176,0.2832310034449326,0.9919055987550843,0.10300295434728207,0.07818613371336543,4.927995219599642,180.05198180636776,141.26055880441845,0.15517863587152653,38.92137751786875,54.06107862248213,283.1555095524302,0.1909236331227804,191.42300194931775,0.45553292600135775,0.32675814751286447,0.28241683638832316,0.1981391593684645,1.2612089027861015,-0.27405473255144197,-0.5553883350904147,True,1.661578910626881,1.5352636353375435,0.9798753002471288,-0.4003700078407795,0.3806518290861779,0.8805570736999236
Mill Valley,6,41,6390,6425,14920,Marin,6041,mill valley,16,16,55,612.0,14.15093577325182,95.0,0.9945525291828794,262,151,126,326,865,52,52,43,41,188,69,20,20,156,4,9,19,1320.0,,,,,,apr_tableC_2023plus,0.9124845729403052,0.0875154270596947,2136793.64286662,0.0419864480405178,4391.8074074074075,0.0730067700622056,place,6418.0,206212.0,3278.0,2000001.0,0.6622714486638537,0.19897230944904365,0647710,3.317608584,1.0,1.0,1.0,0.5,2.0,5486.0,5464.0,0.0,0.0,0.0,0.0,1.0000000000000016,0.013577081638243152,0.013577081638243152,0.854783421626675,29.260700389105057,2.0233463035019454,0.8297872340425532,16.186770428015564,205.44747081712063,95.25291828793775,2.156862745098039,134.63035019455253,0.07976878612716763,0.09685230024213075,1.5260115606936415,0.08751542705969484,0.19333222296448996,0.29253284636692856,-0.8214158023664755,True,-0.9529653596335251,-0.0992006234024386,-0.9206164257689141,1.146297582598015,-0.653106053257575,0.8464382762220649
Millbrae,6,81,6570,8235,22360,San Mateo,6081,millbrae,1,1,56,1503.15,49.98046875,259.0,0.7978142076502732,575,331,361,932,2199,59,170,63,569,861,403,18,100,83,0,775,3,2068.0,772.0,89.88272727272728,0.045454545454545456,22.0,,6th_cycle,0.8844717017172107,0.1155282982827893,2066580.3537707943,0.0491498013246667,3782.25,0.0392700776789742,place,8705.0,163476.0,3272.0,1934900.0,0.6079300578746459,0.7055842037991978,0647486,2.141005305,1.75,1.0,1.0,0.0,2.0,5431.0,10292.0,0.07040362809022406,0.07040362809022406,0.40937500015233075,0.42666157340252503,0.996547046643252,0.09273909854511873,0.08995226086894455,0.6238943136128662,104.55373406193078,94.11050394656952,0.09639953542392567,27.808136004857317,251.12325440194292,182.53187613843352,1.3757775338455909,267.0309653916211,0.18326512050932242,0.13024282560706402,0.9404274670304684,0.11552829828278932,0.3103393496106829,0.6633117135157633,-0.02333340053829308,True,0.3525276896302235,-0.35297236390508047,-0.37630576444337355,-0.04218834001954064,-0.24900959217950394,0.5593489417901868
Milpitas,6,85,46810,27425,90645,Santa Clara,6085,milpitas,10,0,1191,10843.0,36.926829268292686,212.0,1.7068368277119417,1685,970,1131,2927,6713,331,115,127,2676,3249,410,59,25,263,37,2348,601,639.0,466.0,30.256410256410255,0.23076923076923078,39.0,6272.0,6th_cycle,0.8132883746217376,0.1867116253782622,1488488.1413685037,-0.0293038851161704,3462.961704911433,0.0555795026296508,place,26040.0,178798.0,3120.0,1251700.0,0.5843373493975904,0.8992084298404134,0647766,,,,,,,44770.0,41122.0,0.15753397289016235,0.05467443329025379,0.21768212973811957,0.27780428562345527,0.9127010465236672,0.1574310007004909,0.13631751544762194,1.7192780337941629,118.46855059252506,86.9644484958979,0.08094798399507541,16.26253418413856,23.299908842297175,395.36918869644484,0.05893202988102924,244.77666362807656,0.06107552510055117,0.031638418079096044,0.09518844033963951,0.18671162537826236,0.34657431992886073,-0.4995501962504151,,False,0.5937943165190719,0.8461245161792759,0.8461245161792759,-0.24721999659021116,0.7457617361187089,-0.39918741618984815
Monte Sereno,6,85,555,1310,3440,Santa Clara,6085,monte sereno,16,6,38,51.0,1.1666666666666667,10.0,0.4236641221374045,53,30,31,79,193,69,19,8,87,183,59,25,6,102,0,0,81,222.0,129.0,2.0727272727272728,0.00909090909090909,220.0,,6th_cycle,1.0,0.0,,,,,place,1427.0,250001.0,,2000001.0,0.9735819735819736,0.3010690551863623,0648956,,,,,,,401.0,1610.0,0.0,0.0,0.0,0.0,1.0,0.0002942376649018417,0.0,0.28100911002102313,139.6946564885496,0.0,0.5573770491803278,67.17557251908397,169.46564885496184,38.93129770992366,4.352941176470589,147.32824427480915,0.30569948186528495,0.37349397590361444,1.150259067357513,0.0,-1.0567772211248891,-0.2125931324971581,,False,0.9618301407974265,-0.844184088627731,-0.844184088627731,-2.0186073619223155,-1.1353616996757896,0.07858447855090045
Moraga,6,13,5630,5690,16560,Contra Costa,6013,moraga,0,0,37,2701.0,2.569105691056911,181.0,0.9894551845342706,318,183,172,445,1118,0,14,19,50,83,20,0,11,34,25,11,13,1430.0,551.0,14.409090909090908,0.6818181818181818,66.0,,6th_cycle,0.9122214056585998,0.0877785943414002,1669780.724227829,-0.0089687963814029,3731.25,,place,5719.0,216193.0,2895.0,1663200.0,0.831320958731303,0.40801478919434675,0649187,,,,,,,4290.0,7016.0,0.0,0.0,0.0,0.0,0.9999999999999992,0.17411465776332322,0.0,0.7501311418080084,14.586994727592268,6.3268892794376095,0.40963855421686746,2.460456942003515,251.31810193321616,474.69244288224957,0.5294335431321733,196.48506151142354,0.017889087656529516,0.021956087824351298,1.2790697674418605,0.08777859434140023,-0.204199396606709,0.5741764633388363,,False,-1.1472793877707654,-0.7783758599455453,-0.7783758599455453,0.9430799911640564,0.7081142958334902,-0.9123136924401991
Morgan Hill,6,85,18130,13955,43285,Santa Clara,6085,morgan hill,43,142,1358,5569.0,7.4311475409836065,373.0,1.299175922608384,262,151,174,450,1037,335,291,734,1067,2427,660,65,0,137,14,1150,1126,1331.0,389.0,19.384615384615383,0.6923076923076923,13.0,,6th_cycle,0.8306651597854804,0.1693348402145195,1358162.1957258324,0.0040391895168214,3560.127380952381,0.0549506965288397,place,15543.0,163920.0,2474.0,1210200.0,0.7146989572822066,0.6271436433681894,0649278,3.317608584,1.0,1.0,1.0,0.533333333,2.0,18565.0,23050.0,0.0,0.0,0.06095180751802154,0.30963706909080096,1.0000000000000024,0.0,0.03145761712717711,1.1944283600334555,173.91615908276603,83.41096381225367,0.05644829007004532,44.85847366535292,95.37800071658904,399.0684342529559,0.23900161608906448,74.31028305266929,0.6364513018322083,0.15738498789346247,1.2835101253616201,0.1693348402145196,0.17037524941526705,-0.11490311984955376,-0.8214158023664755,True,1.5551909285463072,0.2852783692648208,-0.5361374331016546,-1.3848156791310402,0.7024611292931021,-0.5320858798778351
Mountain View,6,85,62965,47760,111725,Santa Clara,6085,mountain view,146,154,2955,5487.0,40.25,202.0,1.3183626465661642,2773,1597,1885,4880,11135,483,256,345,5349,6433,3043,370,155,356,6,5538,533,10037.0,3720.0,100.4959349593496,0.024390243902439025,123.0,,6th_cycle,0.5044948696791136,0.4955051303208864,2029112.978567956,-0.0028516364372803,4076.792086834734,0.054268598879055,place,39458.0,189917.0,3062.0,1927000.0,0.3862498951547516,0.62614054363923,0649670,,,,,,,90169.0,42293.0,0.2365658270855514,0.1298193635100757,0.3715496842866377,0.4891147045907461,0.9974302390847526,0.050935598284551825,0.047921403560235346,2.285189315221248,134.69430485762143,116.08040201005025,0.05533965490439919,15.473199329983249,210.15494137353434,114.88693467336684,1.8292327319117916,233.14489112227807,0.2732824427480916,0.12013729977116705,0.9013920071845533,0.4955051303208864,1.158060257913182,1.649394481495824,,False,0.8751298980310441,-0.4913342235826419,-0.4913342235826419,0.2829303598821379,0.7453315630370181,0.4127286948761639
Napa,6,55,33670,27990,77185,Napa,6055,napa,35,19,360,4938.0,,628.0,1.2029296177206146,504,291,319,825,1939,175,226,230,1428,2059,490,15,67,402,48,1107,502,1194.0,781.0,25.607843137254903,0.7254901960784313,51.0,,6th_cycle,0.8211540766227174,0.1788459233772825,885643.1429230213,-0.0347086923892046,2763.188709329886,0.0005181468059665,place,32141.0,105963.0,2282.0,856400.0,0.5870464247598719,0.4966321144186403,0650258,,,,,,,33749.0,39912.0,0.0,0.0,0.0,0.0,0.986354847703849,0.0,4.219784106331164e-07,1.0500295572633085,73.56198642372276,41.264737406216504,0.19524040796503156,14.326545194712397,42.658092175777064,176.42015005359056,0.24179829890643986,69.27474097892105,0.2527075812274368,0.10314465408805032,0.6157813305827746,0.17884592337728256,-0.6244795334142331,-0.40665695328540513,,False,-0.18483292864460046,-0.217822580128828,-0.217822580128828,-0.4396466047696327,-0.06481632119443508,-0.5596632122197981
Newark,6,1,19055,13595,44905,Alameda,6001,newark,0,0,458,6592.0,31.6,332.0,1.4016182420007357,464,268,318,824,1874,241,19,19,1919,2198,435,117,19,137,56,737,1268,775.0,396.0,63.55357142857143,0.30357142857142855,56.0,,6th_cycle,0.8103286445555301,0.1896713554444699,1253585.3182129848,-0.0552069965414423,3501.5416666666665,0.0038839249013722,place,16015.0,169064.0,2776.0,1142800.0,0.6939417781274587,0.833379527961964,0650916,,,,,,,27485.0,26030.0,0.0,0.0,0.08206617769736589,0.08206617710931725,0.9999465361040297,0.04304547505448003,0.019526823143228726,1.7162035591632845,161.67708716439867,58.330268481059214,0.062329390354868064,19.12467819051122,57.006252298639204,484.88414858403826,0.11756674757281553,137.84479588083855,0.2321237993596585,0.18579234972677597,0.41355389541088583,0.1896713554444699,0.09595283415016076,-0.2835900191198082,,False,1.3429797512374242,0.37954285326996895,0.37954285326996895,-1.2470269170872634,1.076324300603017,-0.9803714664528562
Novato,6,41,26910,20695,53325,Marin,6041,novato,21,13,81,1217.0,0.8,137.0,1.3003140855279054,570,328,332,860,2090,270,102,88,344,804,346,218,46,225,48,487,44,8.0,0.0,20.0,1.0,3.0,42.0,6th_cycle,0.902917529573913,0.0970824704260869,1082949.2920400694,-0.0068226721240891,3752.406349206349,-0.0120205104742677,place,20982.0,115736.0,2506.0,1032500.0,0.661049062624651,0.45377383625775514,0652582,,,,,,,24398.0,24969.0,0.0,0.0,0.13950930691192298,0.13222674669951476,0.989661437051815,0.036704513764121455,0.0638877301132557,1.1628062148508245,38.84996375936216,25.85165498912781,0.2798507462686567,17.975356366272045,0.3865668035757429,58.806474993959895,0.00657354149548069,100.99057743416284,0.16555023923444975,0.29398663697104677,0.003827751196172249,0.09708247042608698,-0.025130961925378295,-0.8805267152286775,,False,-0.7866987600988553,0.8553957533032992,0.8553957533032992,0.761567798173477,-0.7526319159622081,0.7275009540368298
Oakland,6,1,247310,186145,480270,Alameda,6001,oakland,338,109,7258,13993.0,59.50777899308079,648.0,1.3285879287652098,6511,3750,4457,11533,26251,2204,1334,455,10186,14179,2716,1103,611,1901,233,11664,381,17925.0,6562.0,92.71187106140039,0.43984220907297833,507.0,,6th_cycle,0.6500074755027496,0.3499925244972502,718621.3751346242,-0.0761755356354286,2544.243785105055,0.0579630313866832,place,201061.0,102235.0,2008.0,884000.0,0.43642613526673674,0.7208296229498957,0653000,,,,,,,217281.0,197674.0,0.20514300037758854,0.10603309814711666,0.493188850369759,0.5621250434358357,0.9979875526703343,0.002009930961501703,0.004856389722647028,1.0806720348550938,76.17180155255312,63.91254129845013,0.13407151421115734,19.006688334362998,96.29589835880631,75.17258051518976,1.280997641677982,141.02447017110316,0.10346272522951507,0.16704024948835397,0.6828311302426574,0.3499925244972504,-0.13455739768122843,0.4787737996425044,,False,-0.1395817899355876,-0.6133311973237328,-0.6133311973237328,0.005024392254359161,0.1292903747515921,-0.26384777243282054
Oakley,6,13,3230,10645,35360,Contra Costa,6013,oakley,8,66,840,1125.0,,32.0,0.3034288398309065,279,161,172,446,1058,3,125,209,2115,2452,316,3,3,37,0,170,2245,2754.0,0.0,5.748958333333333,0.8229166666666666,96.0,616.0,6th_cycle,0.9295076900762572,0.0704923099237426,665615.4390833148,-0.0340003842789132,3304.888888888889,0.0377683678397289,place,13944.0,137677.0,1953.0,660200.0,0.7880160759956156,0.5925237368036651,0653070,,,,,,,4638.0,20067.0,0.0,0.0,0.04911989148582713,0.049119890927579096,1.0000000000000009,0.0,0.0,0.3326161790017212,230.34288398309064,15.969938938468765,0.015089722675367047,12.024424612494128,258.713010803194,105.68341944574918,2.448,99.38938468764678,0.29867674858223064,0.013636363636363636,2.6030245746691874,0.07049230992374278,-0.7062653356381295,0.5631742465960945,,False,2.3749762558813905,-1.2694395822342242,-1.2694395822342242,-3.08124159151952,-0.6711225898156286,-0.03514274582250099
Orinda,6,13,5495,6765,17960,Contra Costa,6013,orinda,0,0,184,208.0,30.0,3.0,0.8122690317812269,372,215,215,557,1359,0,0,102,184,286,61,0,0,100,4,0,182,570.0,48.0,2.2213740458015265,0.9961832061068703,262.0,908.0,6th_cycle,0.998349402000258,0.0016505979997419,2005280.862258788,-0.0069567191808295,5300.0,,place,7475.0,250001.0,3501.0,1863200.0,0.9127387659749897,0.33176181203238697,0654232,,,,,,,4087.0,7767.0,0.0,0.0,0.056351514095264996,0.05478941078864684,0.9999999999999994,0.06818445488625827,0.014982110228283267,0.5467558528428094,42.27642276422764,0.5912786400591279,0.34965034965034963,0.0,84.25720620842571,30.74648928307465,2.7403846153846154,200.88691796008868,0.044885945548197206,0.0,0.4194260485651214,0.0016505979997419873,0.24280117231646156,-0.7288050220761001,,False,-0.7272879727227384,0.9716061943925617,0.9716061943925617,0.9700891450392,-1.1299888437659455,1.3727900160824071
Pacifica,6,81,6160,14155,37980,San Mateo,6081,pacifica,0,0,34,727.0,16.76,75.0,0.4351819145178382,538,310,291,753,1892,60,137,110,371,678,316,60,71,393,49,154,82,122.0,24.0,25.733333333333334,0.7333333333333333,15.0,1970.0,6th_cycle,0.913302909147363,0.0866970908526369,1277574.9387576536,-0.019499730717703,3597.0416666666665,0.0632263864032252,place,14665.0,160523.0,3098.0,1249800.0,0.676895436579231,0.5295885778696223,0654806,,,,,,,5298.0,19389.0,0.0,0.0,0.0,0.029696595689642353,0.9980594998152547,4.9362870683041256e-05,9.364026730219932e-07,0.36126832594613023,47.89826916283999,14.341222182974214,0.5796460176991151,13.917343694807489,8.618862592723419,51.359943482868246,0.16781292984869325,133.66301660190746,0.16701902748414377,0.1544811320754717,0.06448202959830866,0.086697090852637,-0.4743365742157824,-0.9143321287975215,,False,-0.6298117383434919,0.43999555458173906,0.43999555458173906,0.1554751641277095,-0.8131345779923301,0.33879800377654773
Palo Alto,6,85,121740,31975,81170,Santa Clara,6085,palo alto,20,58,362,3301.0,27.956204379562045,345.0,3.807349491790461,1556,896,1013,2621,6086,231,53,82,1322,1688,820,115,47,915,20,691,62,748.0,97.0,41.1764705882353,0.0392156862745098,51.0,4726.0,6th_cycle,0.863755789618232,0.136244210381768,3683761.214551921,0.019385474741598,4169.5351190476185,0.0701631112506009,place,29241.0,231101.0,3484.0,2000001.0,0.546366396372161,0.5499204307152312,0655282,,,,,,,109011.0,29856.0,0.07556718983523657,0.07556718983523657,0.1434451263616851,0.16950867452071589,0.9997712647880803,0.2690385601991429,0.11357315137629745,3.728018877603365,52.79124315871775,22.23612197028929,0.5420616113744076,8.881939014855355,23.393275996872557,103.23690383111806,0.226598000605877,190.33620015637217,0.13473545842918172,0.06606851549755302,0.12290502793296089,0.13624421038176804,1.3524471276308832,-0.6632549798816549,,False,-0.5449732980489537,2.015702107512538,2.015702107512538,1.8974204256798368,-0.46586503255051803,1.8183121601814012
Petaluma,6,97,33440,22740,60830,Sonoma,6097,petaluma,9,20,606,7962.0,27.4877358490566,198.0,1.4705364995602463,499,288,313,810,1910,249,197,176,1024,1646,508,125,132,202,7,1004,433,1308.0,426.0,30.41176470588235,0.35294117647058826,34.0,,6th_cycle,0.7372187293865196,0.2627812706134805,907303.62564798,-0.0202793398170417,2755.7173489278753,0.016343374074816,place,25107.0,115430.0,2440.0,878600.0,0.6453649077932258,0.33154421320910765,0656784,,,,,,,30815.0,26409.0,0.0,0.0,0.09724063662625954,0.09724063636406717,0.9977886281428558,0.0,4.34424837560426e-06,1.2273469550324612,72.38346525945471,44.45910290237467,0.1227217496962333,19.61301671064204,57.519788918205805,350.13192612137203,0.16428033157498115,83.99296394019349,0.26596858638743454,0.32655654383735705,0.6848167539267016,0.26278127061348044,-0.4460097962946652,-0.04246668252946306,,False,-0.2052671057963366,-0.40354311376520213,-0.40354311376520213,-0.24074269049832858,0.8311914867487766,-1.2772012830434418
Piedmont,6,1,1945,3820,10765,Alameda,6001,piedmont,6,2,23,117.0,,115.0,0.5091623036649214,163,94,92,238,587,67,116,63,92,338,199,40,75,332,2,0,4,57.0,0.0,4.368421052631579,1.0,57.0,325.0,6th_cycle,0.997392243024329,0.0026077569756709,2488052.007761159,0.0453158706006793,,,place,4073.0,250001.0,3501.0,2000001.0,0.9089026915113871,0.3288259479214253,0656938,1.280340115,1.5,1.0,1.0,0.75,2.0,1628.0,4951.0,0.0,0.0,0.05620323876023511,0.24635861252289878,0.9999999999999991,0.6927390030193049,0.06085274449550909,0.39970537687208446,88.48167539267016,0.5235602094240838,0.9822485207100592,47.90575916230367,14.921465968586388,30.6282722513089,0.48717948717948717,153.66492146596858,0.3390119250425894,0.4474708171206226,0.09710391822827939,0.0026077569756709496,-0.060514510443765074,-1.150112865060116,-0.2893608678143539,True,0.07385700980009742,1.089598354616351,0.8002374868019971,-0.1343715202438625,-1.1268731988534446,1.0663586884096796
Pinole,6,13,7950,6950,19615,Contra Costa,6013,pinole,0,0,4,1014.0,,122.0,1.143884892086331,121,69,87,223,500,69,289,82,89,529,316,62,154,52,7,455,15,1014.0,,,,,,5th_cycle_fallback,0.9090594356262874,0.0909405643737126,726411.7992324469,-0.0469086174303656,3200.0,,place,7056.0,127717.0,2700.0,718600.0,0.7944748026715239,0.7079579979745216,0657288,3.71344974,2.0,1.0,1.0,0.333333333,3.0,5233.0,9347.0,0.0,0.0,0.30010585688583663,0.3001058571348744,0.9995495214011381,0.0,3.843827654354646e-06,0.7416383219954649,76.11510791366906,66.4748201438849,0.09829867674858223,51.510791366906474,145.89928057553956,145.89928057553956,1.0,71.94244604316546,0.632,1.1368421052631579,2.028,0.09094056437371256,-0.3078263530691823,-0.06082915359453461,1.269101249918799,True,-0.14056479125576574,-0.2469971994746477,1.0221040504441512,-0.1672615618134166,-0.46037994541365806,0.15255359234447574
Pittsburg,6,13,13330,20345,73055,Contra Costa,6013,pittsburg,23,217,1166,9286.0,0.75,56.0,0.6551978373064635,516,296,346,894,2052,55,579,261,574,1469,221,0,34,100,41,620,708,9286.0,,,,,,5th_cycle_fallback,0.7915314562781721,0.2084685437218279,568650.4133760555,-0.0390886119208838,2395.4608695652173,0.0080141454517734,place,24482.0,99861.0,2264.0,597900.0,0.6233547790252723,0.8415751996538023,0657456,3.473223651,2.0,1.0,1.0,0.269230769,2.0,15020.0,32946.0,0.0,0.0,0.08641410583187431,0.3494720869899291,0.9999999999999999,0.0,0.011302046155269807,0.6135119679764726,72.20447284345047,32.489555173261245,0.06807351940095303,31.162447775866305,456.42664045219954,456.42664045219954,1.0,100.86016220201523,0.10769980506822611,0.04187192118226601,4.525341130604288,0.20846854372182788,-0.6283251272457806,1.1568722176725255,0.24269406673776778,True,-0.20837062472187023,-1.785197344918306,-1.5425032781805383,-0.41995450252391037,1.0354853209933679,-1.6638104482391485
Pleasant Hill,6,13,19180,13815,33590,Contra Costa,6013,pleasant hill,1,0,60,944.0,,58.0,1.3883460007238508,566,326,254,657,1803,31,41,157,598,827,566,31,20,181,0,397,249,229.0,8.0,11.26923076923077,1.0,39.0,1265.0,6th_cycle,0.8712249626664901,0.1287750373335099,1005428.0484495386,-0.0247443832609909,2771.5079365079364,-3.671386532666521e-05,place,13939.0,145029.0,2533.0,1077100.0,0.6264142404585911,0.4464144880969768,0657764,,,,,,,15296.0,15196.0,0.0,0.0,0.010980971072218976,0.010980972338808787,1.0000000000000018,0.03919040458867581,0.006376155017964807,1.0973527512734056,59.86246833152371,28.736880202678247,0.218863361547763,5.2117263843648205,16.576185305827,68.33152370611654,0.24258474576271186,130.51031487513572,0.3139212423738214,0.05717488789237668,0.12701053799223516,0.12877503733350992,-0.5620313122376239,-0.7292971812334601,,False,-0.4223665326874886,0.16726586899583618,0.16726586899583618,-0.13966477955013534,-0.6153204170842546,0.05328910484663063
Pleasanton,6,1,65185,27040,75030,Alameda,6001,pleasanton,220,44,1898,6574.0,37.33174603174603,113.0,2.4106878698224854,1750,1008,894,2313,5965,102,116,155,639,1012,628,54,82,229,13,502,268,1787.0,784.0,21.795585106382976,0.3882978723404255,188.0,4013.0,6th_cycle,0.9115633512147662,0.0884366487852338,1595628.52268637,-0.0803886451316588,3039.7579966329963,0.0265778313124487,place,28975.0,190124.0,3060.0,1537100.0,0.6701223230620225,0.6386174636174636,0657792,,,,,,,61606.0,39052.0,0.0391730483134597,0.0391730483134597,0.07009801662424692,0.06957535831314243,1.0,0.023813497198357708,0.023894151996342795,2.1261777394305437,37.42603550295858,19.04585798816568,0.22628458498023715,8.062130177514794,66.08727810650888,243.12130177514794,0.271828414968056,220.5991124260355,0.10528080469404862,0.049311094996374184,0.29958088851634534,0.08843664878523383,0.1607509012106997,-0.5575312642178225,,False,-0.8113880089005814,0.7182821654285222,0.7182821654285222,0.9721389101112811,-0.11997077730051153,0.2807216785112112
Portola Valley,6,81,1520,1800,4590,San Mateo,6081,portola valley,21,4,61,279.0,0.7771126760563379,170.0,0.8444444444444444,73,42,39,99,253,30,23,19,24,96,46,10,19,70,9,6,11,279.0,,,,,,5th_cycle_fallback,1.0,0.0,4342135.754230924,0.0974512660966375,,,place,1894.0,250001.0,3501.0,2000001.0,0.7877758913412564,0.2559814169570267,0658380,3.473223651,1.0,1.0,1.0,0.0,2.0,1201.0,1648.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.6341077085533263,53.333333333333336,8.333333333333334,0.7291666666666666,29.444444444444443,155.0,155.0,1.0,140.55555555555554,0.18181818181818182,0.25217391304347825,1.1027667984189724,0.0,0.30214547613699605,-0.3011414211643274,-0.8214158023664755,True,-0.5355740891113778,0.6032868973013235,-0.21812890506515203,0.8377195652483739,-0.7237724353575048,1.025917911494501
Redwood City,6,81,71050,30820,83995,San Mateo,6081,redwood city,7,57,2098,9769.0,38.81967213114754,171.0,2.305321219987021,1115,643,789,2041,4588,548,680,76,1318,2622,1163,210,232,489,13,1704,416,4236.0,1781.0,25.606060606060606,0.12121212121212122,66.0,,6th_cycle,0.6197648250919039,0.3802351749080961,1894827.1018190004,0.0126997066856247,3803.83648989899,0.048577540317088,place,32135.0,157814.0,2968.0,1801700.0,0.4857600747888217,0.6330976263539001,0660102,2.533206398,1.0,1.0,1.0,0.6,2.0,60308.0,39579.0,0.04077813670090628,0.040778136700906284,0.16645994924690127,0.17442705257852775,0.9839449827821384,0.10887483364309958,0.06531533558410149,1.8767076396452467,85.07462686567165,55.71057754704737,0.18649885583524028,39.844256975989616,137.44321868916288,316.96950032446466,0.43361654212304224,148.86437378325763,0.253487358326068,0.2514220705346985,0.923278116826504,0.3802351749080961,0.5232381045402742,0.8290908213425195,-0.8214158023664755,True,0.014782777384009432,-0.30585271680224535,-1.1272685191687208,0.5084553271562647,1.0946216111621205,-0.5713835066218463
Richmond,6,13,42685,42720,126385,Contra Costa,6013,richmond,79,0,418,4481.0690791795,20.230352654134062,466.0,0.9991807116104868,840,485,638,1651,3614,428,101,47,1062,1638,583,76,20,546,64,684,344,668.0,37.0,31.826589595375722,0.9653179190751445,173.0,,6th_cycle,0.7225315362293813,0.2774684637706187,608356.6419586495,-0.0489631518484631,2562.332930756844,0.0259242280645655,place,42509.0,95391.0,1960.0,668200.0,0.5470028917316081,0.8190641097787974,0660620,,,,,,,35240.0,49404.0,0.0,0.0,0.2769157800960109,0.2994795920852016,0.9079187056176461,0.00017496449112230146,0.10463321273282243,0.8290009174527747,38.342696629213485,17.50936329588015,0.3333333333333333,12.382958801498127,15.636704119850187,104.8939391193703,0.1490715693502126,84.59737827715355,0.16131710016602102,0.07245283018867925,0.18483674598782512,0.27746846377061873,-0.536411210049399,-0.25103654433631273,,False,-0.7954941782169073,-0.28537466571308623,-0.28537466571308623,0.2590829681675083,-0.00022565743954799933,-0.5361855526098509
Rio Vista,6,95,2365,3475,7705,Solano,6095,rio vista,1,55,296,9529.42,18.6055,45.0,0.6805755395683454,127,73,76,197,473,0,0,3,665,668,219,0,0,0,0,0,668,1182.0,251.0,7.835820895522388,1.0,67.0,,6th_cycle,0.8965817590862754,0.1034182409137245,460642.73705162545,-0.027891844549528,,,place,5135.0,89306.0,1724.0,489700.0,0.83901855176541,0.38091467036230453,0660984,,,,,,,1734.0,3811.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.337682570593963,192.23021582733813,0.0,0.0,0.0,340.1438848920863,2742.2791366906476,0.12403692984462851,136.11510791366908,0.4630021141649049,0.0,2.4989429175475686,0.10341824091372465,-1.0352739249884073,0.8149233358965562,,False,1.872735230025154,-1.8501972608849635,-1.8501972608849635,-2.9080091550135614,0.946082066271762,-1.9813559912601693
