jurisdiction,fipst,fipco,jobs_2020,households_2020,pop_2020,county,place_fips,key,permits1417_vlow,permits1417_low,permits1417_total,capacity5_units,density5_mean,n_sites5,jh_ratio_2020,rhna_very_low,rhna_low,rhna_moderate,rhna_above_moderate,rhna_total,permits1825_vlow,permits1825_low,permits1825_mod,permits1825_above,permits1825_total,permits2325_total,permits2325_vlow,permits2325_low,permits1825_adu,permits1825_mf24,permits1825_mf5,permits1825_sf,capacity6_units,capacity6_lower,density6_mean,sites6_vacant_share,n_sites6,capacity6_rezone_units,capacity_vintage,sf_share,mf_share,zhvi_latest,zhvi_yoy,zori_latest,zori_yoy,acs_geo,acs_units,acs_med_income,acs_med_rent,acs_med_value,acs_owner_share,acs_poc_share,place_fips5,nzlud_zri,nzlud_parking,nzlud_minlot,nzlud_adu_allowed,nzlud_mf_permitted,nzlud_approval_steps,jobs_2022,workers_2022,sb79_share,sb79_tier1_share,tpa_share,hqta_share,epc_share,hra_share,tra_share,jh_ratio_2022,permits1825_per_1k,permits1825_mf_per_1k,adu_share_1825,permits1825_belowmod_per_1k,capacity6_per_1k,capacity5_per_1k,cap_ratio_6_to_5,rhna_per_1k,rhna6_progress,rhna6_lowinc_progress,capacity_vs_rhna,mf_allowed_share,D_demand,C_capacity,F_friction,F_coverage,P_delivery,zmi_core,zmi_full,zmi_realized,C_capacity_5th,zmi_core_5th
Hayward,6,1,69910,48130,154280,Alameda,6001,hayward,190,19,1083,5817.0,20.364257028112448,432.0,1.452524413047995,1075,617,817,2115,4624,393,361,420,3109,4283,879,229,175,384,14,2288,1597,3449.0,1109.0,98.06818181818181,0.20454545454545456,44.0,,6th_cycle,0.7751408465175154,0.2248591534824846,847838.1431246147,-0.0618250445875061,2550.590940079736,0.0101908792747416,place,54320.0,110406.0,2333.0,884700.0,0.5831010452961672,0.893690077193514,0633000,,,,,,,68164.0,79372.0,0.03596966616936927,0.03596966616936927,0.10071507103270405,0.2567468928393547,0.9938482771077647,0.0,0.07543414948549726,1.254860088365243,88.98815707458965,47.82879700810305,0.08965678262899837,15.665904841055475,71.66008726366091,120.86017037190942,0.5929173113288636,96.07313525867443,0.19009515570934257,0.23877068557919623,0.7458910034602076,0.22485915348248464,-0.35501908607551325,-0.07935010938179152,,False,0.08263880916547421,-0.2756689766937217,-0.2756689766937217,-0.43765789524098747,-0.11423203207709187,-0.24078705399842137
Healdsburg,6,97,8860,4230,10970,Sonoma,6097,healdsburg,18,26,167,844.0,,156.0,2.0945626477541373,190,109,49,128,476,235,151,110,665,1161,948,191,147,125,11,672,353,0.0,0.0,8.533333333333333,0.6,45.0,,6th_cycle,0.891679345382873,0.108320654617127,1118295.2837088124,-0.0259138670182335,3240.8333333333335,0.0193276517586293,place,5138.0,103554.0,2158.0,950100.0,0.6013760481616857,0.41439117673218895,0633056,,,,,,,6855.0,5201.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,1.334176722460101,274.468085106383,161.46572104018912,0.10766580534022395,91.25295508274232,0.0,199.5271867612293,0.0,112.52955082742317,1.9915966386554622,1.1304347826086956,0.0,0.10832065461712703,-0.27635008727649685,-0.8439453402626447,,False,2.3749762558813905,0.5675952529861479,0.5675952529861479,-2.6513263431578875,-0.21153970932873112,-0.06481037794776573
Hercules,6,13,5280,8650,25135,Contra Costa,6013,hercules,0,1,262,6006.0,36.3625,33.0,0.6104046242774567,344,198,126,327,995,1,17,218,274,510,23,1,2,19,0,0,491,855.0,666.0,,0.3333333333333333,3.0,,6th_cycle,0.7992559799248523,0.2007440200751477,746601.1639126263,-0.0472815571869863,2868.9166666666665,0.0196521800266427,place,9581.0,129397.0,2991.0,769400.0,0.79219668626403,0.856398752946544,0633308,2.929047554,1.0,1.0,1.0,0.714285714,3.0,4611.0,13046.0,0.0,0.0,0.2803782377025461,0.2803782382261076,0.9993747870608807,0.0,0.06973418914652313,0.48126500365306335,58.959537572254334,0.0,0.03725490196078431,2.0809248554913293,98.84393063583815,694.335260115607,0.14235764235764234,115.02890173410404,0.023115577889447236,0.005535055350553505,0.8592964824120602,0.2007440200751477,-0.5532643398537673,0.008552722098268933,0.2049913808145557,True,-0.43802229488342787,-0.5618170619520363,-0.3568256811374806,-0.11524204497033946,1.2628868775155464,-1.8161512173693137
Hillsborough,6,81,2210,3895,11475,San Mateo,6081,hillsborough,32,10,66,83.0,,34.0,0.5673940949935815,155,89,87,223,554,107,70,59,57,293,103,35,19,284,0,0,9,89.0,2.0,0.0,0.9032258064516129,31.0,116.0,6th_cycle,1.0,0.0,5422423.574234625,0.0760894693115687,,,place,3821.0,250001.0,3501.0,2000001.0,0.9349030470914127,0.48761149653121905,0633798,1.843021598,2.0,1.0,1.0,0.0,2.0,2208.0,4649.0,1.5450615798405197e-10,1.5450615798405197e-10,0.09110791738120076,0.0988014037673129,0.9999999999999997,0.02579558330398605,0.02579558330398605,0.5778591991625229,75.22464698331194,0.0,0.9692832764505119,45.442875481386395,22.849807445442874,21.309370988446727,1.072289156626506,142.2336328626444,0.18592057761732853,0.22131147540983606,0.16064981949458484,0.0,0.4168283982616132,-1.1100697668658173,0.24269406673776778,True,-0.15600434121829715,1.5268981651274305,1.7695922318651982,0.5728327394799104,-1.1353616996757896,1.5521900979374028
Lafayette,6,13,10450,9530,24865,Contra Costa,6013,lafayette,2,3,194,1532.0,32.7,148.0,1.0965372507869884,599,344,326,845,2114,39,20,168,322,549,254,32,17,193,24,231,101,1532.0,,,,,,5th_cycle_fallback,0.9829151497165196,0.0170848502834804,1956402.935911931,-0.0039384581550914,3543.5,0.038579409617192,place,9998.0,228250.0,2892.0,2000001.0,0.7710693131040216,0.2818271702590469,0639122,,,,,,,9259.0,10541.0,0.0,0.0,0.05478767165324872,0.05192935919514744,0.9999999999999987,0.004720941779110655,0.004069666979204264,0.9260852170434087,57.607555089192026,26.75760755508919,0.35154826958105645,6.190975865687303,160.75550891920253,160.75550891920253,1.0,221.8258132214061,0.12015137180700095,0.051961823966065745,0.7246925260170294,0.01708485028348039,-0.07858199135385785,-0.21029750108424033,,False,-0.4614640882109983,0.13171550973038249,0.13171550973038249,0.3828820968571405,-0.6475249905158488,0.568942999161991
Larkspur,6,41,7375,6195,13430,Marin,6041,larkspur,1,3,70,571.0,17.0,63.0,1.1904761904761905,291,168,145,375,979,60,23,21,8,112,49,11,19,62,0,44,6,582.0,168.0,27.973684210526315,0.0,38.0,555.0,6th_cycle,0.7706272513309892,0.2293727486690109,2170006.305090155,0.0365907962659211,3720.1777777777775,0.0383868173128101,place,6431.0,140417.0,3001.0,1996600.0,0.46510468594217347,0.26754317722109844,0640438,2.19175406,1.0,1.0,1.0,0.333333333,3.0,6286.0,5294.0,0.0,0.0,0.18965908517171054,0.18965908440721665,0.9999999999999993,0.35220165947094106,0.1912143557161437,0.9774529622142746,18.07909604519774,7.1025020177562554,0.5535714285714286,13.397901533494753,93.94673123486683,92.17110573042777,1.019264448336252,158.03066989507667,0.05005107252298264,0.06535947712418301,0.5944841675178754,0.2293727486690108,0.20474338070937143,0.07176486943090916,0.2049913808145557,True,-1.146841287305925,0.13297851127846227,0.337969892093018,1.3515846680152965,-0.2023956614054183,0.4071390421147897
Livermore,6,1,43025,30405,84935,Alameda,6001,livermore,52,43,1346,5674.0,12.707343649603262,760.0,1.4150633119552705,1317,758,696,1799,4570,401,73,767,1460,2701,1547,213,59,618,35,1681,367,5076.0,2283.0,27.485436893203882,0.912621359223301,103.0,,6th_cycle,0.9186987604048572,0.0813012395951429,1125609.5244945437,-0.0605793074424058,2937.365167464115,0.0039581775940069,place,31936.0,160775.0,2677.0,1105600.0,0.7195524222236596,0.4751759781108954,0641992,,,,,,,55943.0,47832.0,0.06528437379244627,0.06528437379244627,0.1245189311371915,0.12960165065205195,0.9738061883875199,0.0008603993479578962,0.001362822085185469,1.7517221943887775,88.83407334320013,56.43808584114455,0.22880414661236578,15.589541193882585,166.94622594967933,186.61404374280545,0.894606979203384,150.3042262785726,0.3385120350109409,0.1310843373493976,1.1107221006564552,0.0813012395951428,-0.07783350207319849,0.03662816142276826,,False,0.07996717766756262,-0.11446166349596675,-0.11446166349596675,-0.15780067974076112,-0.3457866175551107,0.2679531154819122
Los Altos,6,85,16420,11580,31530,Santa Clara,6085,los altos,2,18,322,488.5,15.398373983739836,123.0,1.4179620034542315,501,288,326,843,1958,105,202,179,535,1021,606,99,142,452,12,450,107,1042.0,557.0,4.007751937984496,0.15503875968992248,129.0,68.0,6th_cycle,0.9784241588677538,0.0215758411322461,4681519.479558286,0.0364223847778057,7054.904761904762,0.047669820606657,place,11781.0,250001.0,3501.0,2000001.0,0.8166051660516606,0.5049840380480812,0643280,,,,,,,11745.0,14029.0,0.0,0.0,0.07751936076149978,0.1288291745508059,1.000000000000005,0.3503755957975074,0.08067187895836733,0.9969442322383499,88.1692573402418,39.89637305699482,0.4427032321253673,26.511226252158895,89.98272884283247,42.18480138169257,2.1330603889457525,169.0846286701209,0.30949948927477017,0.30544993662864384,0.5321756894790602,0.0215758411322462,1.062022736644043,-0.6288989033858993,,False,0.06844004655643232,1.6909216400299423,1.6909216400299423,0.9935826900876106,-1.0580051855531387,2.1200279221971816
Los Altos Hills,6,85,1640,3010,8340,Santa Clara,6085,los altos hills,5,5,68,198.0,,267.0,0.5448504983388704,125,72,82,210,489,132,83,115,287,617,115,19,19,333,0,0,284,48.0,0.0,1.0,1.0,48.0,377.0,6th_cycle,1.0,0.0,6069527.878055488,0.0243093168721511,,,place,3363.0,250001.0,3501.0,2000001.0,0.9342148760330579,0.5277545660737735,0643294,,,,,,,1666.0,3401.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.08656409614169241,0.0,0.4953910199226881,204.98338870431894,0.0,0.539708265802269,71.42857142857143,15.946843853820598,65.78073089700996,0.24242424242424243,162.45847176079735,0.23517382413087934,0.19289340101522842,0.09815950920245399,0.0,0.23164837533036178,-1.1523247406245827,,False,2.093860316036482,1.3839731159549444,1.3839731159549444,-1.8622119407061204,-1.043640684250064,1.2752890595804258
Los Gatos,6,85,19590,12890,31635,Santa Clara,6085,los gatos,0,2,77,1360.0,15.77777777777778,41.0,1.5197827773467805,537,310,320,826,1993,219,107,319,1016,1661,950,170,105,546,33,992,90,1885.0,990.0,32.26086956521739,0.2391304347826087,46.0,1928.0,6th_cycle,0.9360719867674387,0.063928013232561,2705565.0736515787,0.0116864963130736,3783.566666666667,0.0231054221363293,place,13728.0,217554.0,3247.0,2000001.0,0.6488909863142992,0.3786067223815043,0644112,,,,,,,20836.0,16040.0,0.0,0.0,0.05796946547139776,0.05796946639222533,0.999999999999998,0.2975416320551164,0.0568791937969499,1.5177738927738929,128.85958107059736,79.51900698215671,0.32871763997591813,25.290923196276182,146.23739332816137,105.50814584949573,1.386029411764706,154.61598138091543,0.47666833918715507,0.3246753246753247,0.9458103361766181,0.06392801323256125,0.43618204455109694,-0.14668793365940117,,False,0.7739626189779366,0.5828699782104981,0.5828699782104981,-0.3377805744268397,-0.6931183991206091,1.129300443671706
